Player Name,Metric,Projected Value,Best Bet,Bookmaker,Odds,Point Line,Difference,Projection Aligns,Confidence,Home Team,Away Team
Onyeka Okongwu,Points Rebounds Assists,24.900000000000002,Over,BetOnline.ag,-114,19.5,5.400000000000002,Yes,21.7%,New York Knicks,Atlanta Hawks
Keyonte George,Points Rebounds Assists,25.5,Under,BetRivers,-108,30.5,5.0,Yes,19.6%,New Orleans Pelicans,Utah Jazz
Santi Aldama,Points,14.4,Over,BetOnline.ag,-119,9.5,4.9,Yes,34.0%,Memphis Grizzlies,Minnesota Timberwolves
Keyonte George,Points,16.7,Under,DraftKings,-105,21.5,4.800000000000001,Yes,28.7%,New Orleans Pelicans,Utah Jazz
Daniel Gafford,Points Rebounds Assists,18.8,Under,BetOnline.ag,-114,23.5,4.699999999999999,Yes,25.0%,Charlotte Hornets,Dallas Mavericks
Santi Aldama,Points Rebounds Assists,23.1,Over,Bovada,-105,18.5,4.600000000000001,Yes,19.9%,Memphis Grizzlies,Minnesota Timberwolves
Nikola Vucevic,Points Rebounds Assists,36.4,Over,FanDuel,-106,32.5,3.8999999999999986,Yes,10.7%,Los Angeles Clippers,Chicago Bulls
Julius Randle,Points Rebounds Assists,30.9,Under,FanDuel,-106,34.5,3.6000000000000014,Yes,11.7%,Memphis Grizzlies,Minnesota Timberwolves
Gui Santos,Points Rebounds Assists,8.9,Under,BetMGM,-115,12.5,3.5999999999999996,Yes,40.4%,Golden State Warriors,Boston Celtics
Jalen Johnson,Points Rebounds Assists,35.0,Over,BetRivers,-107,31.5,3.5,Yes,10.0%,New York Knicks,Atlanta Hawks
Spencer Dinwiddie,Points Rebounds Assists,20.099999999999998,Under,BetOnline.ag,-103,23.5,3.400000000000002,Yes,16.9%,Charlotte Hornets,Dallas Mavericks
Isaiah Collier,Points Rebounds Assists,18.2,Under,FanDuel,-102,21.5,3.3000000000000007,Yes,18.1%,New Orleans Pelicans,Utah Jazz
Donovan Mitchell,Points Rebounds Assists,31.4,Under,DraftKings,-115,34.5,3.1000000000000014,Yes,9.9%,Cleveland Cavaliers,Phoenix Suns
Nick Smith Jr,Points Rebounds Assists,11.4,Under,DraftKings,-120,14.5,3.0999999999999996,Yes,27.2%,Charlotte Hornets,Dallas Mavericks
Jarrett Allen,Points Rebounds Assists,25.5,Under,Caesars,-109,28.5,3.0,Yes,11.8%,Cleveland Cavaliers,Phoenix Suns
