Parlay ID,Player,Metric,Best Bet,Odds,Point Line,Bookmaker
1,N/A,Points Rebounds Assists,Over,-114,24.5,BetOnline.ag
1,N/A,Points,Over,110,17.5,BetRivers
1,N/A,Points Rebounds Assists,Over,100,19.5,BetMGM
2,N/A,Points Rebounds Assists,Over,-114,24.5,BetOnline.ag
2,N/A,Points,Over,110,17.5,BetRivers
2,N/A,Points Rebounds Assists,Over,100,19.5,BetMGM
3,N/A,Points Rebounds Assists,Over,-114,24.5,BetOnline.ag
3,N/A,Points,Over,110,17.5,BetRivers
3,N/A,Points Rebounds Assists,Over,100,19.5,BetMGM
4,N/A,Points Rebounds Assists,Over,-114,24.5,BetOnline.ag
4,N/A,Points,Over,110,17.5,BetRivers
4,N/A,Points Rebounds Assists,Over,100,19.5,BetMGM
5,N/A,Points Rebounds Assists,Over,-114,24.5,BetOnline.ag
5,N/A,Points,Over,110,17.5,BetRivers
5,N/A,Points Rebounds Assists,Over,100,19.5,BetMGM
